"date","location","windgustdir","windgustspeed","winddir9am","winddir3pm","windspeed9am","windspeed3pm"
"2012-07-31","Mildura","S",30,"S","SSW",9,20
"2012-07-31","Portland","SE",26,"SE","SSE",7,15
"2012-07-31","Watsonia","ESE",24,NA,"SE",0,9
"2012-07-31","Dartmoor","ESE",20,NA,"S",0,11
"2012-07-31","Brisbane","SW",22,"SSW","W",7,2
"2012-07-31","Cairns","ESE",33,"SSE","SE",17,22
"2012-07-31","GoldCoast","S",48,"SSW","SSE",22,30
"2012-07-31","Townsville","NE",35,NA,"ENE",0,28
"2012-07-31","Adelaide","SE",24,"SE","SE",7,15
"2012-07-31","MountGambier","E",19,"ESE","SSE",11,9
"2012-07-31","Nuriootpa","SE",24,"ESE","E",11,13
"2012-07-31","Woomera","E",28,"ESE","W",19,9
"2012-07-31","Albany",NA,NA,"NNW","WNW",13,19
"2012-07-31","Witchcliffe","NNW",56,"NNW","W",20,19
"2012-07-31","PearceRAAF","NNW",50,"NW","WSW",11,17
"2012-07-31","PerthAirport","SW",46,"NNE","SW",9,26
"2012-07-31","Perth","W",39,"N","WSW",7,19
"2012-07-31","SalmonGums","WNW",50,"N","NNW",20,19
"2012-07-31","Hobart","S",37,"WSW","S",9,19
"2012-07-31","Launceston","SSE",22,NA,"ESE",0,9
"2012-07-31","AliceSprings","ESE",35,"ESE","ESE",13,28
"2012-07-31","Darwin","ESE",48,"SE","SSE",24,19
"2012-08-01","Albury","WNW",20,NA,"W",0,9
"2012-08-01","BadgerysCreek","S",37,"WSW","SSW",9,13
"2012-08-01","Cobar","SW",30,"SSW","SW",7,13
"2012-08-01","CoffsHarbour","SW",31,"WSW","SSE",13,17
"2012-08-01","Moree","SSW",28,"NE","W",7,19
"2012-08-01","Newcastle",NA,NA,NA,NA,0,0
"2012-08-01","NorahHead","S",43,"WSW","SSW",13,22
"2012-08-01","NorfolkIsland","W",57,"W","W",30,30
"2012-08-01","Penrith","SSE",35,"S","SSE",4,13
"2012-08-01","Richmond","SSE",31,NA,"SSE",0,24
"2012-08-01","Sydney","SSW",43,"W","S",22,22
"2012-08-01","SydneyAirport","S",48,"W","SSW",20,30
"2012-08-01","WaggaWagga","W",30,"E","W",9,17
"2012-08-01","Williamtown","WSW",31,"WNW","W",20,15
"2012-08-01","Wollongong","SW",56,"SW","S",20,33
"2012-08-01","Canberra","S",39,"S","SSE",7,20
"2012-08-01","Tuggeranong","W",46,"SW","SE",6,13
"2012-08-01","MountGinini","S",37,"S","SE",9,6
"2012-08-01","Ballarat","SSE",28,"SSE","SE",6,19
"2012-08-01","Bendigo","SE",22,"SSW","S",2,2
"2012-08-01","Sale","WNW",20,"W","SSE",15,9
"2012-08-01","MelbourneAirport","N",22,NA,"E",0,9
"2012-08-01","Melbourne","N",22,NA,"E",0,9
"2012-08-01","Mildura",NA,NA,"S","E",7,6
"2012-08-01","Portland","WSW",19,"N","SW",7,6
"2012-08-01","Watsonia","E",13,"E",NA,6,0
"2012-08-01","Dartmoor","ENE",17,NA,"E",0,6
"2012-08-01","Brisbane","WSW",20,"SW","WSW",4,6
"2012-08-01","Cairns","SSE",39,"S","SE",24,22
"2012-08-01","GoldCoast","E",26,"SSW","E",6,15
"2012-08-01","Townsville","ENE",33,NA,"ENE",0,26
"2012-08-01","Adelaide","N",26,"N","NNW",7,13
"2012-08-01","MountGambier","NNE",22,NA,"N",0,11
"2012-08-01","Nuriootpa","WNW",24,"NNE","NNW",9,11
"2012-08-01","Woomera","N",39,"ENE","NNW",7,20
"2012-08-01","Albany",NA,NA,"WNW","WSW",9,41
"2012-08-01","Witchcliffe","SSW",39,NA,"WSW",0,19
"2012-08-01","PearceRAAF","SW",59,"N","W",7,22
"2012-08-01","PerthAirport","WSW",43,"NW","WSW",6,13
"2012-08-01","Perth","SW",28,"WNW","WNW",4,4
"2012-08-01","SalmonGums","W",33,"WNW","WNW",13,19
"2012-08-01","Hobart","SE",19,"NNW","SE",9,7
"2012-08-01","Launceston","SSE",24,"E","SSE",4,9
"2012-08-01","AliceSprings","ENE",31,"E","NE",11,11
"2012-08-01","Darwin","E",52,"E","NE",28,17
"2012-08-02","Albury","NNW",17,NA,"SW",0,2
"2012-08-02","BadgerysCreek","WSW",31,"SW","S",15,13
"2012-08-02","Cobar","NW",24,"NE","WNW",11,9
"2012-08-02","CoffsHarbour","SSW",41,"WSW","S",22,17
"2012-08-02","Moree","SW",26,"WNW","SW",7,17
"2012-08-02","Newcastle",NA,NA,"NW","SE",4,4
"2012-08-02","NorahHead","SW",28,"WSW","SSW",15,11
"2012-08-02","NorfolkIsland","W",48,"NNW","NW",11,20
