"date","location","windgustdir","windgustspeed","winddir9am","winddir3pm","windspeed9am","windspeed3pm"
"2011-05-14","NorfolkIsland","WNW",50,"W","WNW",2,19
"2011-05-14","Penrith","SW",41,"SW","SW",13,19
"2011-05-14","Richmond","SW",41,"WSW","SW",19,22
"2011-05-14","Sydney","WSW",52,"W","WSW",28,20
"2011-05-14","SydneyAirport","SW",61,"W","SW",28,28
"2011-05-14","WaggaWagga","WSW",39,"WSW","SW",17,24
"2011-05-14","Williamtown","W",46,"WSW","SSW",26,26
"2011-05-14","Wollongong","W",72,"WSW","SSW",22,19
"2011-05-14","Canberra","W",52,"NW","SSW",20,24
"2011-05-14","Tuggeranong","S",31,"NNE","SSW",6,15
"2011-05-14","MountGinini","SW",59,"SW","SSW",24,20
"2011-05-14","Ballarat","SSW",46,"SSW","SSW",24,24
"2011-05-14","Bendigo","SSW",46,"SW","SSW",13,20
"2011-05-14","Sale","SW",52,"W","WSW",28,20
"2011-05-14","MelbourneAirport","S",52,"WSW","S",24,28
"2011-05-14","Melbourne","S",52,"WSW","S",24,28
"2011-05-14","Mildura","S",35,"SW","S",13,17
"2011-05-14","Portland","SSW",54,"SSW","SSW",17,17
"2011-05-14","Watsonia","SSW",43,"W","SSW",9,24
"2011-05-14","Dartmoor","SW",43,"SSW","SSW",15,15
"2011-05-14","Brisbane","W",28,"SW","WSW",6,6
"2011-05-14","Cairns","SSE",37,"S","ESE",17,26
"2011-05-14","GoldCoast","WNW",24,"W","E",11,11
"2011-05-14","Townsville","ENE",35,"WNW","ENE",6,28
"2011-05-14","Adelaide","SSE",26,NA,"S",0,9
"2011-05-14","MountGambier","SW",39,"SW","SW",15,15
"2011-05-14","Nuriootpa","SSW",26,"W","SSE",9,11
"2011-05-14","Woomera","ESE",37,"ESE","ESE",24,19
"2011-05-14","Albany",NA,NA,"NNE","E",6,19
"2011-05-14","Witchcliffe","ENE",30,"ESE","E",7,17
"2011-05-14","PerthAirport","E",46,"E","ENE",2,26
"2011-05-14","Perth","NE",37,"ENE","E",9,13
"2011-05-14","SalmonGums","SE",30,"ENE","SE",13,17
"2011-05-14","Walpole","ESE",26,"NE","ENE",11,15
"2011-05-14","Hobart","WSW",52,"W","SSW",11,9
"2011-05-14","Launceston","SSW",35,"E","SW",4,9
"2011-05-14","AliceSprings","E",37,"NE","ESE",6,19
"2011-05-14","Darwin","ESE",44,"ESE","E",24,15
"2011-05-15","Albury","W",15,NA,"WSW",0,9
"2011-05-15","BadgerysCreek","WSW",20,"WSW","N",6,6
"2011-05-15","Cobar","SE",26,"S","S",6,11
"2011-05-15","CoffsHarbour","SW",39,"SW","S",20,22
"2011-05-15","Moree","ESE",26,"SE","SSE",15,9
"2011-05-15","Newcastle",NA,NA,"NW",NA,2,0
"2011-05-15","NorahHead","WSW",30,"W","SE",11,2
"2011-05-15","NorfolkIsland","W",59,"NNW","SW",15,26
"2011-05-15","Penrith","SW",15,NA,NA,0,0
"2011-05-15","Richmond","N",15,NA,"N",0,6
"2011-05-15","Sydney","WSW",41,"W","W",24,11
"2011-05-15","SydneyAirport","WSW",33,"W","WNW",17,6
"2011-05-15","WaggaWagga","W",26,NA,"WNW",0,7
"2011-05-15","Williamtown","W",33,"WNW","WNW",19,15
"2011-05-15","Wollongong","SE",24,"WNW","ENE",9,9
"2011-05-15","Canberra","NNW",30,"NNW","NNW",6,15
"2011-05-15","Tuggeranong","N",22,"WNW","NNW",7,11
"2011-05-15","MountGinini","S",37,"SW","W",9,17
"2011-05-15","Ballarat","WSW",31,"WSW","SW",11,17
"2011-05-15","Bendigo","SW",30,"WSW","SW",15,15
"2011-05-15","Sale","W",48,"WNW","W",15,30
"2011-05-15","MelbourneAirport","WSW",35,"WSW","SW",19,13
"2011-05-15","Melbourne","WSW",35,"WSW","SW",19,13
"2011-05-15","Mildura","SSE",24,"S","S",7,11
"2011-05-15","Portland","W",35,"WSW","W",9,20
"2011-05-15","Watsonia","SW",46,"W","WSW",7,15
"2011-05-15","Dartmoor","WSW",22,NA,"W",0,9
"2011-05-15","Brisbane","SW",19,"SW","S",6,4
"2011-05-15","Cairns","SSE",52,"SSE","SSE",19,37
"2011-05-15","GoldCoast","S",52,"S","S",33,19
"2011-05-15","Townsville","ENE",31,"SSW","NE",15,22
"2011-05-15","Adelaide","SSW",22,NA,"SSW",0,9
"2011-05-15","MountGambier","W",28,"NW","WSW",9,19
"2011-05-15","Nuriootpa","ESE",24,"NE","SSW",7,11
