"date","location","wind_gustdir","wind_gustspeed","wind_dir9am","wind_dir3pm","wind_speed9am","wind_speed3pm"
"2007-11-01","Canberra","NW",30,"SW","NW",6,20
"2007-11-02","Canberra","ENE",39,"E","W",4,17
"2007-11-03","Canberra","NW",85,"N","NNE",6,6
"2007-11-04","Canberra","NW",54,"WNW","W",30,24
"2007-11-05","Canberra","SSE",50,"SSE","ESE",20,28
"2007-11-06","Canberra","SE",44,"SE","E",20,24
"2007-11-07","Canberra","SE",43,"SE","ESE",19,26
"2007-11-08","Canberra","E",41,"SE","E",11,24
"2007-11-09","Canberra","S",48,"E","ENE",19,17
"2007-11-10","Canberra","E",31,"S","ESE",7,6
"2007-11-11","Canberra","N",30,"SE","NW",6,9
"2007-11-12","Canberra","E",41,"E","NW",2,15
"2007-11-13","Canberra","WNW",30,"S","NW",6,7
"2007-11-14","Canberra","NW",44,"WNW","W",7,20
"2007-11-15","Canberra","NW",41,"S","W",6,20
"2007-11-16","Canberra","E",46,"SE","WSW",7,9
"2007-11-17","Canberra","ESE",44,"WSW","W",6,19
"2007-11-18","Canberra","S",52,"SW","NE",6,11
"2007-11-19","Canberra","E",39,"NNE","W",4,17
"2007-11-20","Canberra","NE",33,"NNW","NNW",2,13
"2007-11-21","Canberra","WNW",59,"N","NW",2,31
"2007-11-22","Canberra","E",26,"ENE","E",6,11
"2007-11-23","Canberra","ESE",28,"S","SE",13,13
"2007-11-24","Canberra","NNE",26,"WSW","NE",6,9
"2007-11-25","Canberra","ENE",33,"SSE","NE",9,15
"2007-11-26","Canberra","E",41,"E","E",6,22
"2007-11-27","Canberra","ENE",39,"E","E",20,17
"2007-11-28","Canberra","S",52,"S","NNE",6,11
"2007-11-29","Canberra","SE",39,"SE","SE",7,17
"2007-11-30","Canberra","NNW",30,"SSW","S",6,6
"2007-12-01","Canberra","SSE",41,"E","S",6,20
"2007-12-02","Canberra","NNE",41,"E","SW",6,9
"2007-12-03","Canberra","NW",50,"WNW","NW",13,35
"2007-12-04","Canberra","NW",50,"NW","WNW",20,26
"2007-12-05","Canberra","ENE",43,"ESE","E",11,30
"2007-12-06","Canberra","ENE",39,"ESE","ESE",13,9
"2007-12-07","Canberra","SW",41,"NW","N",6,6
"2007-12-08","Canberra","NE",39,"E","N",7,13
"2007-12-09","Canberra","NW",43,"N","W",9,24
"2007-12-10","Canberra","NNW",35,"NNE","WNW",11,6
"2007-12-11","Canberra","ENE",35,"ESE","E",9,15
"2007-12-12","Canberra","ENE",41,"ESE","E",15,24
"2007-12-13","Canberra","SE",39,"ESE","E",22,20
"2007-12-14","Canberra","E",35,"NNW","N",6,11
